id,text
all,All
4,Afghanistan
8,Albania
12,Algeria
20,Andorra
24,Angola
660,Anguilla
28,Antigua and Barbuda
32,Argentina
51,Armenia
533,Aruba
36,Australia
40,Austria
31,Azerbaijan
44,Bahamas
48,Bahrain
50,Bangladesh
52,Barbados
112,Belarus
56,Belgium
58,Belgium-Luxembourg
84,Belize
204,Benin
60,Bermuda
64,Bhutan
68,Bolivia (Plurinational State of)
535,Bonaire
70,Bosnia Herzegovina
72,Botswana
92,Br. Virgin Isds
76,Brazil
96,Brunei Darussalam
100,Bulgaria
854,Burkina Faso
108,Burundi
132,Cabo Verde
116,Cambodia
120,Cameroon
124,Canada
136,Cayman Isds
140,Central African Rep.
148,Chad
152,Chile
156,China
344,"China, Hong Kong SAR"
446,"China, Macao SAR"
170,Colombia
174,Comoros
178,Congo
184,Cook Isds
188,Costa Rica
384,Cote d'Ivoire
191,Croatia
192,Cuba
531,Curacao
196,Cyprus
203,Czechia
200,Czechoslovakia
408,Dem. People's Rep. of Korea
180,Dem. Rep. of the Congo
208,Denmark
262,Djibouti
212,Dominica
214,Dominican Rep.
588,East and West Pakistan
218,Ecuador
818,Egypt
222,El Salvador
226,Equatorial Guinea
232,Eritrea
233,Estonia
231,Ethiopia
97,EU-28
234,Faeroe Isds
238,Falkland Isds (Malvinas)
242,Fiji
246,Finland
251,France
254,French Guiana
258,French Polynesia
583,FS Micronesia
266,Gabon
270,Gambia
268,Georgia
276,Germany
288,Ghana
292,Gibraltar
300,Greece
304,Greenland
308,Grenada
312,Guadeloupe
320,Guatemala
324,Guinea
624,Guinea-Bissau
328,Guyana
332,Haiti
336,Holy See (Vatican City State)
340,Honduras
348,Hungary
352,Iceland
699,India
356,"India, excl. Sikkim"
360,Indonesia
364,Iran
368,Iraq
372,Ireland
376,Israel
381,Italy
388,Jamaica
392,Japan
400,Jordan
398,Kazakhstan
404,Kenya
296,Kiribati
414,Kuwait
417,Kyrgyzstan
418,Lao People's Dem. Rep.
428,Latvia
422,Lebanon
426,Lesotho
430,Liberia
434,Libya
440,Lithuania
442,Luxembourg
450,Madagascar
454,Malawi
458,Malaysia
462,Maldives
466,Mali
470,Malta
584,Marshall Isds
474,Martinique
478,Mauritania
480,Mauritius
175,Mayotte
484,Mexico
496,Mongolia
499,Montenegro
500,Montserrat
504,Morocco
508,Mozambique
104,Myanmar
580,N. Mariana Isds
516,Namibia
524,Nepal
530,Neth. Antilles
532,Neth. Antilles and Aruba
528,Netherlands
540,New Caledonia
554,New Zealand
558,Nicaragua
562,Niger
566,Nigeria
579,Norway
512,Oman
490,"Other Asia, nes"
586,Pakistan
585,Palau
591,Panama
598,Papua New Guinea
600,Paraguay
459,Peninsula Malaysia
604,Peru
608,Philippines
616,Poland
620,Portugal
634,Qatar
410,Rep. of Korea
498,Rep. of Moldova
638,Reunion
642,Romania
643,Russian Federation
646,Rwanda
647,Ryukyu Isd
461,Sabah
654,Saint Helena
659,Saint Kitts and Nevis
658,"Saint Kitts, Nevis and Anguilla"
662,Saint Lucia
534,Saint Maarten
666,Saint Pierre and Miquelon
670,Saint Vincent and the Grenadines
882,Samoa
674,San Marino
678,Sao Tome and Principe
457,Sarawak
682,Saudi Arabia
686,Senegal
688,Serbia
891,Serbia and Montenegro
690,Seychelles
694,Sierra Leone
702,Singapore
703,Slovakia
705,Slovenia
711,So. African Customs Union
90,Solomon Isds
706,Somalia
710,South Africa
728,South Sudan
724,Spain
144,Sri Lanka
275,State of Palestine
729,Sudan
740,Suriname
748,Swaziland
752,Sweden
757,Switzerland
760,Syria
762,Tajikistan
807,TFYR of Macedonia
764,Thailand
626,Timor-Leste
768,Togo
772,Tokelau
776,Tonga
780,Trinidad and Tobago
788,Tunisia
792,Turkey
795,Turkmenistan
796,Turks and Caicos Isds
798,Tuvalu
800,Uganda
804,Ukraine
784,United Arab Emirates
826,United Kingdom
834,United Rep. of Tanzania
858,Uruguay
850,US Virgin Isds
842,USA
860,Uzbekistan
548,Vanuatu
862,Venezuela
704,Viet Nam
876,Wallis and Futuna Isds
887,Yemen
894,Zambia
716,Zimbabwe
