year,age,disposable_gap,market_gap
2014,0,1.6615,2.3291
2014,3,1.7448,2.667
2014,6,1.622,2.6314
2014,9,1.5138,2.4295
2014,12,1.6963,2.4862
2014,15,2.0399,2.3054
2014,18,3.9915,1.4567
2014,21,4.2842,1.4098
2014,24,3.3483,1.5551
2014,27,2.2496,1.6623
2014,30,1.8832,1.6793
2014,33,1.9902,1.8756
2014,36,1.6267,1.692
2014,39,1.7927,1.6437
2014,42,1.932,2.0105
2014,45,2.079,2.2169
2014,48,2.4123,2.8146
2014,51,2.2841,2.9974
2014,54,2.4881,3.4744
2014,57,3.0972,4.1535
2014,60,3.0505,5.3696
2014,63,2.2903,8.1116
2014,66,1.5974,8.7062
2014,69,1.3126,8.8975
2014,72,1.2391,7.6577
2014,75,1.0579,6.9444
2015,0,1.7217,1.9832
2015,3,1.6759,2.21
2015,6,1.6433,2.4222
2015,9,1.5986,2.3453
2015,12,1.7652,2.4922
2015,15,2.3112,2.351
2015,18,4.1896,1.5946
2015,21,4.4229,1.2645
2015,24,3.0213,1.3008
2015,27,2.5716,1.5665
2015,30,2.0599,1.5784
2015,33,1.89,1.812
2015,36,1.6529,1.6811
2015,39,1.7569,1.9057
2015,42,1.8406,1.8035
2015,45,1.7538,1.9988
2015,48,2.1985,2.3958
2015,51,2.2978,3.0829
2015,54,2.4307,3.5402
2015,57,2.9215,4.3429
2015,60,3.0707,5.6125
2015,63,2.3765,7.3504
2015,66,1.5316,9.9864
2015,69,1.1973,8.9312
2015,72,0.9217,8.2466
2015,75,0.9472,7.6205
2016,0,1.6109,1.863
2016,3,1.6543,2.1274
2016,6,1.5732,2.2785
2016,9,1.455,2.2236
2016,12,1.5932,2.1945
2016,15,2.2506,2.1262
2016,18,3.9657,1.0773
2016,21,3.4948,1.1649
2016,24,3.1712,1.4782
2016,27,2.5315,1.4389
2016,30,1.9915,1.6812
2016,33,1.9798,1.6734
2016,36,1.5572,1.6214
2016,39,1.6647,1.5881
2016,42,1.5851,1.5862
2016,45,1.9045,1.7217
2016,48,1.9231,2.1357
2016,51,2.5636,3.1728
2016,54,2.5946,3.8778
2016,57,2.909,3.9293
2016,60,2.8526,5.3377
2016,63,2.3928,7.8769
2016,66,1.8046,10.349
2016,69,1.6429,9.4508
2016,72,1.3407,9.1362
2016,75,1.0833,8.306
2017,0,1.8002,1.8325
2017,3,1.656,2.0212
2017,6,1.8135,2.0951
2017,9,1.8619,2.1477
2017,12,1.6744,2.0601
2017,15,2.0569,2.0157
2017,18,3.847,1.1899
2017,21,4.0206,1.2271
2017,24,3.1429,1.4467
2017,27,2.655,1.4065
2017,30,2.4859,1.287
2017,33,2.5595,1.7492
2017,36,1.883,1.7429
2017,39,1.687,1.5381
2017,42,1.8834,1.5709
2017,45,1.9505,2.105
2017,48,1.9844,2.3053
2017,51,2.644,2.8087
2017,54,3.0501,3.7238
2017,57,2.9241,3.9002
2017,60,3.0348,5.2855
2017,63,2.4212,8.2108
2017,66,1.8976,9.933
2017,69,1.7341,11.0207
2017,72,1.2855,8.9901
2017,75,1.1499,8.2236
2018,0,1.3811,1.8308
2018,3,1.3192,1.8337
2018,6,1.2046,2.1387
2018,9,1.2682,2.2357
2018,12,1.3715,2.1318
2018,15,1.9102,2.0948
2018,18,3.4391,1.2313
2018,21,4.1742,1.1433
2018,24,2.6467,1.1342
2018,27,2.3557,1.3149
2018,30,1.8566,1.5231
2018,33,1.6205,1.6222
2018,36,1.6416,1.7961
2018,39,1.3663,1.8558
2018,42,1.5451,1.6903
2018,45,1.6443,1.9695
2018,48,1.8523,2.1506
2018,51,2.0452,2.7782
2018,54,2.8269,2.9745
2018,57,3.207,3.517
2018,60,2.5114,5.9385
2018,63,2.2882,8.1623
2018,66,1.9292,10.2209
2018,69,2.0004,10.8989
2018,72,1.3748,8.6664
2018,75,1.1839,8.0595
2019,0,1.2184,1.5976
2019,3,1.3588,1.7693
2019,6,1.2995,1.9831
2019,9,1.2178,1.9916
2019,12,1.3244,2.0719
2019,15,1.6625,1.7828
2019,18,3.4392,1.1669
2019,21,3.5378,0.9499
2019,24,2.4766,1.2749
2019,27,2.1593,1.3764
2019,30,1.7307,1.3153
2019,33,1.2646,1.422
2019,36,1.4847,1.6652
2019,39,1.5867,1.7558
2019,42,1.5062,1.6069
2019,45,1.4784,1.741
2019,48,1.8411,1.8843
2019,51,1.6203,2.3872
2019,54,2.1434,3.1753
2019,57,2.59,4.0472
2019,60,3.0758,5.6757
2019,63,2.5069,7.3633
2019,66,1.7635,10.045
2019,69,1.5793,10.8211
2019,72,1.4598,9.8391
2019,75,1.345,8.3087
2020,0,1.0332,2.7055
2020,3,1.0945,2.8702
2020,6,1.0025,3.0507
2020,9,1.0714,3.0029
2020,12,1.1177,3.1012
2020,15,1.563,2.9014
2020,18,3.2722,2.6052
2020,21,3.0434,2.3977
2020,24,1.8195,2.4211
2020,27,1.5847,2.9157
2020,30,1.5365,2.6356
2020,33,1.2869,2.9634
2020,36,1.3911,2.5725
2020,39,1.4207,3.0125
2020,42,1.3509,2.9167
2020,45,1.3002,2.6241
2020,48,1.5561,3.3857
2020,51,1.66,3.5637
2020,54,2.0471,4.333
2020,57,2.6066,5.4069
2020,60,1.9493,7.6661
2020,63,2.1703,9.5622
2020,66,1.5572,11.5012
2020,69,1.4786,12.3206
2020,72,1.2257,11.1961
2020,75,0.9477,9.8825
2021,0,0.4945,2.7248
2021,3,0.6347,3.0744
2021,6,0.6606,3.3138
2021,9,0.6922,3.1488
2021,12,0.6714,3.4475
2021,15,1.15,3.0983
2021,18,2.6589,2.3177
2021,21,3.1693,2.2681
2021,24,2.433,2.0226
2021,27,1.5394,2.5644
2021,30,1.4746,2.811
2021,33,1.32,2.7037
2021,36,1.5462,2.6331
2021,39,1.3419,2.815
2021,42,1.364,2.8395
2021,45,1.305,2.7138
2021,48,1.3886,2.8482
2021,51,1.544,3.4554
2021,54,2.0284,4.2357
2021,57,2.5019,5.1877
2021,60,2.7956,7.3217
2021,63,2.684,9.9413
2021,66,2.1803,11.8322
2021,69,2.1309,11.8194
2021,72,1.462,12.5643
2021,75,1.1219,9.6168
2022,0,1.4632,1.7717
2022,3,1.4407,1.9576
2022,6,1.496,2.2881
2022,9,1.5695,2.1542
2022,12,1.7118,2.3749
2022,15,2.1585,2.2181
2022,18,4.3435,1.2213
2022,21,6.1062,0.6307
2022,24,2.8776,1.2584
2022,27,2.3543,1.4859
2022,30,2.4715,1.8951
2022,33,2.3581,1.9091
2022,36,2.0915,2.0378
2022,39,2.2108,1.7531
2022,42,2.1508,1.4343
2022,45,2.1132,1.7171
2022,48,1.6876,2.2369
2022,51,2.6706,2.8419
2022,54,2.7707,3.3062
2022,57,3.868,4.4648
2022,60,4.2282,6.9077
2022,63,3.3141,10.9183
2022,66,2.7233,13.1992
2022,69,2.2904,13.5946
2022,72,2.2365,13.762
2022,75,1.7255,10.8054
2023,0,1.7194,1.9058
2023,3,1.5384,2.053
2023,6,1.5841,2.3303
2023,9,1.7575,2.5741
2023,12,1.8989,2.461
2023,15,2.2376,2.3169
2023,18,4.6202,1.4784
2023,21,4.732,1.2547
2023,24,3.6957,1.2145
2023,27,2.7735,1.4505
2023,30,2.6752,1.7867
2023,33,2.3683,1.9015
2023,36,2.7399,2.0786
2023,39,2.1171,1.8009
2023,42,2.2726,1.9957
2023,45,2.2075,1.9091
2023,48,2.2115,2.1408
2023,51,2.8153,2.5525
2023,54,2.595,3.3748
2023,57,3.4815,4.5049
2023,60,3.8814,6.1637
2023,63,3.5147,11.2134
2023,66,3.3267,13.6716
2023,69,2.4343,13.8653
2023,72,3.0639,12.8097
2023,75,1.9359,12.3364
2024,0,1.7367,1.9765
2024,3,1.8097,2.2747
2024,6,1.6131,2.6356
2024,9,1.7479,2.6062
2024,12,1.8081,2.7988
2024,15,2.4515,2.5241
2024,18,4.7219,1.5502
2024,21,5.1983,1.4076
2024,24,3.9795,1.4735
2024,27,3.0536,1.4863
2024,30,2.8151,1.984
2024,33,2.9798,2.0886
2024,36,2.1192,2.2251
2024,39,2.5426,2.4097
2024,42,2.5054,2.2605
2024,45,2.3861,2.4246
2024,48,2.2677,2.446
2024,51,2.6682,3.1403
2024,54,2.8365,3.3143
2024,57,3.0534,4.3261
2024,60,3.5213,6.933
2024,63,4.2524,11.3239
2024,66,3.1723,14.3074
2024,69,3.0795,15.725
2024,72,2.6922,14.7673
2024,75,2.2104,13.845
