year,category,SPM,OPM,SPM_MI
2014,All Other,23.8741,22.1856,26.7695
2014,Carers,26.0368,28.0983,34.2361
2014,Children,16.9875,21.5155,28.2505
2014,Disabled,28.1748,30.6722,54.103
2014,Early Retired,23.478,20.5966,41.8577
2014,Elderly,14.425,9.9794,51.2447
2014,Fully Employed,6.9948,4.1376,8.8462
2014,Students,28.3238,24.7775,31.7855
2014,Unemployed,27.5518,25.4015,35.6809
2015,All Other,22.3338,20.7699,25.3607
2015,Carers,24.012,25.6504,32.4715
2015,Children,16.2364,20.1493,27.1025
2015,Disabled,27.9329,29.6991,52.8641
2015,Early Retired,20.7213,16.9913,39.3257
2015,Elderly,13.6403,8.8357,50.832
2015,Fully Employed,6.2143,3.6075,8.0166
2015,Students,26.9899,24.1764,31.1051
2015,Unemployed,25.5358,24.0102,33.8107
2016,All Other,19.4808,17.4693,21.5892
2016,Carers,24.5887,26.2516,32.0132
2016,Children,15.2788,18.5159,24.9211
2016,Disabled,27.3691,28.5165,51.4563
2016,Early Retired,22.0991,17.7039,38.549
2016,Elderly,14.5196,9.2686,50.2137
2016,Fully Employed,5.7751,3.2461,7.5062
2016,Students,26.4502,22.7617,30.2043
2016,Unemployed,22.9463,21.6254,30.7975
2017,All Other,20.734,18.2914,23.5677
2017,Carers,24.534,25.6763,31.0755
2017,Children,15.497,18.1378,24.5421
2017,Disabled,26.5714,27.6293,49.9901
2017,Early Retired,22.4668,19.1817,39.9165
2017,Elderly,14.1236,9.1647,49.2597
2017,Fully Employed,5.9567,3.0808,7.5683
2017,Students,26.3728,23.1062,30.0997
2017,Unemployed,21.6882,19.834,28.5178
2018,All Other,,,
2018,Carers,,26.0789,
2018,Children,,16.7917,
2018,Disabled,,28.8912,
2018,Early Retired,23.0835,20.3667,43.5315
2018,Elderly,,9.7571,
2018,Fully Employed,,3.1126,
2018,Students,,26.0399,
2018,Unemployed,,20.973,
2019,All Other,14.4209,12.1442,18.7061
2019,Carers,23.0387,24.1215,29.0457
2019,Children,12.4066,14.3071,21.363
2019,Disabled,24.7786,25.6018,49.0722
2019,Early Retired,21.2667,18.5864,40.6724
2019,Elderly,12.7512,8.8907,45.2369
2019,Fully Employed,4.8575,2.7807,6.5159
2019,Students,26.9096,22.4994,30.6479
2019,Unemployed,21.4709,19.3026,28.6856
2020,All Other,11.5842,13.1193,22.3233
2020,Carers,19.7471,26.9948,35.0292
2020,Children,9.5683,15.9483,24.0129
2020,Disabled,20.1475,27.3216,51.8321
2020,Early Retired,17.9563,19.8129,43.2671
2020,Elderly,9.4599,8.9549,48.0051
2020,Fully Employed,2.3706,2.2126,5.7104
2020,Students,23.2513,23.6584,33.3352
2020,Unemployed,13.3626,15.0577,30.6
2021,All Other,10.5831,14.8092,20.9586
2021,Carers,15.5005,26.9576,32.1299
2021,Children,5.1938,15.175,21.9649
2021,Disabled,18.8554,28.3297,49.7292
2021,Early Retired,18.2642,18.2297,43.0065
2021,Elderly,10.6382,10.3293,47.0449
2021,Fully Employed,2.3856,2.4784,6.0484
2021,Students,21.8775,24.792,32.5395
2021,Unemployed,15.7619,19.8333,31.3027
2022,All Other,16.9617,14.6592,20.8306
2022,Carers,25.8855,28.7594,33.0496
2022,Children,12.1574,14.8742,20.6882
2022,Disabled,25.8165,27.0547,47.287
2022,Early Retired,25.818,22.6823,47.0816
2022,Elderly,14.1631,10.1883,49.0239
2022,Fully Employed,4.4944,2.6944,6.0156
2022,Students,29.7287,25.9121,33.5317
2022,Unemployed,22.803,20.934,28.5807
2023,All Other,17.3695,14.0738,21.0401
2023,Carers,28.6432,28.7748,34.009
2023,Children,13.6826,15.1412,21.7097
2023,Disabled,26.8522,25.6451,45.4274
2023,Early Retired,24.5835,20.9977,43.863
2023,Elderly,14.0478,9.7364,46.9129
2023,Fully Employed,5.0653,2.6354,6.3465
2023,Students,28.2449,22.4394,33.1039
2023,Unemployed,21.9934,19.1127,26.9287
2024,All Other,15.1536,12.6199,18.929
2024,Carers,27.949,27.1116,34.1893
2024,Children,13.2749,14.1837,21.8533
2024,Disabled,26.1417,24.2547,46.023
2024,Early Retired,24.0039,19.3583,42.9701
2024,Elderly,14.9586,9.9332,47.2951
2024,Fully Employed,5.1338,2.5326,6.6634
2024,Students,30.3027,23.4264,34.2237
2024,Unemployed,23.1152,19.7742,28.4941
