year,opm_count,spm_count,mi_count,opm_rate,spm_rate,mi_rate,spm_gap_total,mi_gap_total
2014,47.0213,49.1501,86.9918,14.8723,15.5456,27.5144,179.9563,518.9974
2015,43.5378,46.2698,84.2999,13.6538,14.5106,26.4372,178.0968,520.5585
2016,41.0657,44.6677,81.1008,12.8193,13.9437,25.3168,178.4193,523.1692
2017,40.3053,44.9422,80.9455,12.4724,13.9073,25.0484,191.2823,540.2669
2018,38.6129,41.2345,77.783,,,,169.7918,510.7924
2019,33.9843,38.0999,73.3027,10.4481,11.7134,22.5361,157.9915,496.7812
2020,37.2465,29.7811,82.5465,11.4185,9.1298,25.3059,137.025,590.7161
2021,37.9351,25.5397,78.2118,11.5402,7.7694,23.7927,137.7299,588.3511
2022,37.9228,40.96,78.3305,11.4698,12.3884,23.6912,216.8579,636.4733
2023,36.7903,42.9797,77.8722,11.0687,12.9308,23.4285,229.516,660.273
2024,35.8793,43.6527,79.9942,10.6249,12.9269,23.6887,238.8277,713.317
